Título,Comentario,Puntaje
Airbnb offers NO real protection,"​Booked an Airbnb for £1,577 (2 nights, 6 bedrooms, 4 bathrooms). Reality: no hot water for hours, one bathroom unusable all day, tradesmen drilling inside for 5+ hours — with multiple babies in the house.Airbnb’s “Guest Refund Policy” promises protection if essential amenities fail or if the property isn’t as described. All applied, yet they dismissed it as “no violation” and offered a token $200. Only by going through my credit card company did I claw the money back.Airbnb does not protect guests. Their policies mean nothing in practice. Book with extreme caution — you’re on your own if things go wrong.",1
Airbnb is showing outrageous injustice,"Airbnb is showing outrageous injustice. People from Russia cannot use the service just because they live in Russia. This is pure discrimination based on nationality. Airbnb is depriving a huge group of people of the right to use its platform, to travel freely, and to choose accommodation — following double standards instead of principles of equality and accessibility.Such treatment of customers is absolutely unacceptable in the modern world. Instead of bringing people together, the platform deliberately divides them and punishes them for their origin and place of residence.Airbnb must reconsider this shameful practice, otherwise it will remain branded as a company that violates basic human rights and discriminates on the basis of nationality.",1
Have been waiting on their reaction on…,"Have been waiting on their reaction on an appeal I've sent...It's been 22 months and they still haven't responded.I can't contact them via their website, because I am still waiting on their reaction; even though they state that they respond within 7 days.Would definitely not recommend their customer service",1
Excellent Customer Services…,"I had to contact Airbnb as my recent trip did not meet my expectations on may levels - the host's problem I may add.  Airbnb handled my concerns with extreme empathy, kept me updated and even called me.  My issue was resolved within 36 hours of me first raising the issue.  I found this style of customer care to be outstanding. Thank you, especially Minhaj & May (Case manager) for really helping me to go from unhappy (due to my trip) to happy. ☺.",5
System Cybersecurity Threat Weaknesses,"My experience with Airbnb highlights failures that raise not only customer service concerns but also potential regulatory and legal exposure.Prior to my stay, the host contacted me through Airbnb’s own platform and attempted to coerce me into providing payment details via an off-platform website under threat of cancellation. The link triggered an immediate phishing/security alert in my browser. When I reported this, Airbnb customer service advised me to “keep trying.” Instructing a consumer to bypass a security warning and reattempt access to a suspected phishing site represents a reckless disregard for data security. This response is inconsistent with basic cybersecurity standards and could place Airbnb in violation of consumer protection and data security obligations under U.S. federal and state law. A former member of Airbnb’s own legal department later acknowledged this as a serious lapse.Following the stay, matters deteriorated further. Weeks after checkout—and beyond Airbnb’s review and dispute window—the host accused me of stealing a spoon and demanded $10. This baseless allegation, unsupported by any timely evidence, was nevertheless entertained by Airbnb. By siding with the host, Airbnb effectively validated a frivolous claim, raising additional concerns about the integrity of its dispute resolution process.Together, these incidents reflect systemic weaknesses in Airbnb’s handling of cybersecurity threats and post-stay disputes. They expose guests to fraud, undermine trust in the platform, and suggest possible breaches of Airbnb’s duty of care and obligations under consumer protection law.",1
Completely greedy corporation,Completely greedy corporation. Rigged reviews.,1
This platform is such a pain to deal with,"I have been using Airbnb for 12 years but so wish there was a good alternative. Customer service is absolutely useless, even harmful. As a guest, I was scammed by hosts and the customer service in fact facilitated that. As a host and guest, I have repeatedly experienced that customer service attendants lack basic reading comprehension to understand and respond to simple questions.",1
Terrible experience,Terrible experience. We rented and paid well for a home in Rome. We are excellent tenants. I followed up with the host before I posted my review and she thanked us for cleaning the apartment and  being good renters. I gave the host a 5*. Seems the host never finished our review and although I spoke to air bnb which I can post copies of their response that we have 5 rating something on their website had us getting declined without them understanding why. I have asked for their help to correct but only received apologies and less desirable rentals after over an hour of my time. At this point if they don’t make good on correcting I will never use them again for personal or business,1
"Unfair, Retaliatory, and Unreliable Company","After 8 years as a loyal Superhost with excellent reviews, Airbnb removed my account the very next day after I emailed their CEO about unfair practices.No warning.No proof.No appeal process.To make matters worse, Airbnb canceled all my guests’ confirmed bookings at the last minute, leaving travelers stranded with nowhere to stay. This is not only unfair to hosts but also deeply unfair to guests who trusted the platform.Airbnb claims to support “community,” but in reality, they bully hosts and abandon guests. If they can do this to an 8-year Superhost, they can do it to anyone.Avoid this platform — it is unsafe for both hosts and travelers.",1
I’m extremely disappointed with my…,"I’m extremely disappointed with my experience on Airbnb. It feels like the platform consistently prioritizes the host over the guest. Even when issues arise that clearly affect the guest’s stay, Airbnb seems quick to side with the host. In my case, the host left a false or unfair review, and instead of addressing it, Airbnb appeared to support them without proper investigation. Guests should feel protected and heard, but unfortunately, Airbnb seems more interested in defending hosts than ensuring a fair and safe experience for those booking. This bias makes me hesitant to use the platform again.",1
Me and my family have been attacked by…,Me and my family have been attacked by knife from one of the host just because he found that we are from Palestine and the host were from Israel !!!Our details weren’t confidential and I don’t know how host knew that! But anyway the Airbnb did nothing.I had to go back to London to sue them to get my money back,1
As host I am very satisfied with…,As host I am very satisfied with Airbnb. They are reputable and professional in handling all issues. Evenif customer service sometimes doesn't seem to be professional enough but once case is escalated to ambassadors it's being solved immediately,5
Bad customer service,"We were accused of breaking a table when we stayed with an Airbnb host, even though everything was in order when we left the apartment. The owner contacted us only a week later to say that the table was broken. We tried to appeal to Airbnb that we really didn't do it, but Airbnb didn't even look into the situation and just gave standard answers. It's a really bad feeling when you are accused of something you didn't do and have to pay $250 in compensation. I really didn't expect Airbnb to do this to us. Really very poor customer service.",1
Award for worst customer service”support”,"This isn’t my (or many people’s) frustrating customer “support” experience with Airbnb! If I could give a negative star every time, I would! I haven’t always written a review for lack of time but this time I am taking the time!Although the Airbnb customer “support” is non-existent” I have been on the platform as I had been at least fortunate to have multiple good hosts!This time unfortunately I had another misfortune of running into a terrible host, who had a terribly unhygienic room and much worse filthy shared bathroom where the other permanent /semi-permanent resident (as the host had mentioned his family might be in that room at times) would not flush the toilet properly every time and leave shaved hair all over the faucet that had to be hosed by me everytime before use!!The terribly dirty room with carpet of ages ago that was full of dust and wasn’t cleaned before arrival, corners full of dirt and dirt, magazine rack with musty mildewey magazines of 1900s!! and I was still patient to have him clean after I arrived… Finally I didn’t want to clean up the xxxx of the resident in the toilet and faucet everyday and I showed photos of all that to Airbnb and they pretty much grilled me for being patient to let the host address in vain and advised to leave right away and offered a refund for the rest of the days!!But the host in spite of sharing photos with both him and Airbnb of all the issues, wrote a retaliatory review for Airbnb enforcing the move, full of lies and aggressive innuendos accusing me that it is a lie (in spite of evidence that Airbnb saw) and me asking to have it cleaned as a “favor” etc. etc. and full of terrible passive aggressive language of innuendos and lies just to protect himself and ruined my perfect 5 star guest status!When mentioned that he is claiming all the evidence as lies and doing false accusations and defamatory language with euphemisms and asked for it to be removed, Airbnb said it is all within their policy that lying isn’t considered against their policy!!!!! in spite of the actual evidence!! Each one kept repeating the same thing like robots in spite of repeatedly you saw the photos, agreed and advised me to leave that place!!It is appalling that a greedy corporation is actually giving full permission for hosts to lie as much as they want (just like them) and there is absolutely no point having evidence in that case ironically the same photos based on which they asked me to leave such terrible place saying I didn’t have to be in such appalling place and the host isn’t responding to their messages as well!I was also told in the community center that the removal of any reviews is handled by AI now and having these addressed is pretty much impossible!!Then I got the same run-around for customer “support” as usual for days dodging this and being handed from one “team” to another until finally a “senior manager” comes up as usual with power to close everything! I also suggest customers never to go to a manager at Airbnb because they have the right to close any case and make things worse for you!Earlier one “manager” from the India team had told me that they cover everything in their legal and there’s no one in Airbnb who would help me (in my previous experience) and at that point I had to contact the exec team for refusing me a host approved refund of thousands of dollars!! So beware before having it escalated! Managers are the most corrupt on Airbnb and they can totally close your case without any consequences!!The only reason I have used Airbnb is for long term stays (due to unfortunate lack of competition although I have been trying to switch any time I have found other long-term options) and also due to many good hosts that are still there, so I request hosts to find other better options to put their listing on so the market isn’t monopolized.",1
Absolutely disgusted with the customer…,"Absolutely disgusted with the customer service from Airbnb, I unfortunately got scammed into buying £1500 worth of Airbnb vouchers. I completely take the full blame for this however, after being on numerous phone calls with different agents I was told that there was no way they could track the 6 vouchers to any bookings. How they're unable to look and track what accommodation has been booked with vouchers beyond me! I was also told by an agent that they could see from their end that 3 of the bookings were made by users who had used false booking information! Not only am I £1500 down, I'm extremely distraught by this whole experience and was hoping that I could come to Airbnb for some guidance. If they have no tracking system as to who's staying in people's properties, it's safe to say I will not be using them again.",1
Airbnb left me and my daughters on the…,"Airbnb left me and my daughters on the street at night in Jerusalem.Reseña:I booked 10 nights in Jerusalem with Airbnb. After a 20-hour trip with my two daughters, the host denied us entry and refused to let me use the building’s Wi-Fi to pay the required VAT. Instead, he sent an external payment link, which I felt was unsafe and outside Airbnb's policies.We ended up stranded on the street at night with our luggage and young children. Some Airbnb agents initially recognized this as unacceptable and suggested a refund, but the final decision contradicted that—“no rules were broken”—and the offer was only a 10% refund.This wasn’t a VAT dispute. It was a failure to ensure guest safety, trust, and basic human dignity. Airbnb’s resolution was inadequate and unacceptable.",1
Double Standard By Airbnb,"I accidentally booked a stay for September 7–12 instead of November 7–12.I realized the mistake within 30 minutes and immediately contacted Airbnb. Their own support agent cancelled the booking on my behalf and assured me over the phone that if the host refused a refund, Airbnb would refund me directly.Later, the host promised me in writing that they would refund my September booking if I made a new reservation for November. After that, however, the host changed their cancellation policy and refused to honor this promise.Airbnb then declined to support me, saying “refund is at host’s discretion,” even though I had clear written proof of the host’s initial agreement. They offered me a $200 coupon (on an $800 booking), then closed my case completely.This is extremely disappointing. Guests should not be punished for an honest mistake that was reported immediately. Changing the policy after the fact and refusing to honor written promises is a double standard.I will be pursuing this further with my bank and sharing my experience so that other travelers are warned. Be careful: if something goes wrong, you might lose your money even with written proof.",1
Business owners be careful,Business owners be careful. Be careful when you change an invoice to a new business address and VAT number. It doesn't get processed and they don't provide you with a new invoice. I accepted that in future it is better to book with another company when I need company expenses. They are completely not willing to help you.,1
Double dipping charges,"I had a horrible experience in an Airbnb in Streedagh, Sligo. I was charged very high fees, including high fees for 'cleaning'. The host went on to state that I should have cleaned his house, which wasn't that clean to begin with.I go to Sligo regularly to visit family. Thankfully, I have now done some research, and Booking.com offers much better prices and doesn't double dip with cleaning fees.I will definitely go with Booking.com next time.",1
Warning to Hosts,"Warning to Hosts: Airbnb Sides with Guests on Unverifiable Claims:I host a well-maintained, stylish home in a quiet area, with high standards for cleanliness and preparation. Recently, I’ve encountered guests who fabricate issues, such as odours, wet furniture, or noise -  after arrival, clearly aiming to cancel earlier than previously intended without penalty.Airbnb has consistently sided with these guests, issuing refunds without consulting me or allowing time to inspect the property - even within 24 hours of the complaint. Other hosts report similar experiences, and these tactics are becoming more frequent as Airbnb fail to deliver satisfactory guest experiences also.This has cost me + £2,000 in recent months. Airbnb’s handling of these cases undermines their stated host protections and encourages dishonest behaviour. In my view, it’s no longer a viable platform for reliable hosting.Their big problem in my opinion is a lack of customer support for hosts now and hosts of legitimate properties such as myself will take our properties elsewhere now as the business model is too rocky. Airbnb is too uncertain a service now.",1
The host always wins,"The host always wins. Falsely advertised property, given access to another occupied flat with personal belongings and deletion of messages. All that taken into account and I never ended up using the property, my review was removed, they were allowed to leave one for me. Air BnB have now asked me to put together a case to prove everything, no proactive checks themselves on deletion and changing of details. So poor, sticking to hotels from now on.",1
I am a host,"I am a host, and recently I have been battling with Airbnb to resolve a water damage claim against a guest. There is no hope for any resolution. Unfortunately, we as host are in the merci of God, to have a decent guest stay with us. There is ZERO financial reimbursement from Airbnb if the guest refuse to pay. My personal financial loss is greater than what I received from this guest. I opted for short lessee as I needed some extra income to support my daughters college fees. IT WAS NOT WORTH IT! Airbnb claims that the only act as agents and have no obligation to pick up the repair bill if the guest refuse to pay. I as a host have no say in drafting any T&Cs or request a deposit as a guarantee for any damage. So, the hosts are just putting themself in unlimited financial risk with no protection.The Airbnb customer support team are also so useless, They just read their scripted templates and do not understand the core of the complaint.",1
Booking cancelled and price raised,We booked a home for a 5 night stay in June of 2026. It seemed like the perfect place for our large group. We paid the full price upon booking and thought everything was set. A few days ago we got a message that our reservation had been canceled without any explanation. Included in the message was a list of comparable homes if we wished to rebook. Much to my surprise our original home was included in the list but at an almost $2000 price hike. We were originally told by Airbnb that it was canceled for our protection due to concerns about the host. The host told us that it was a “computer glitch” with pricing and we were charged the wrong amount. After much communication back and forth Airbnb aligned their story with the host and offered us no recourse other than our refund and $160 if we rebooked with them.I don’t understand how they can get away with changing prices after you have faithfully fulfilled your end of the contract. Apparently there are no protections from this kind of activity and people should be made aware of this upfront.,1
Airbnb processed multiple unauthorized…,"Airbnb processed multiple unauthorized charges on my credit card for reservations I did not make. Despite reporting the fraudulent charges, Airbnb refused to provide assistance unless compelled by subpoena.During this process, they falsely accused me of sharing my card information, which is untrue. Their refusal to cooperate caused significant stress, inconvenience, and wasted time.I urge Airbnb to:1.	Acknowledge that the charges were unauthorized.2.	Refund the full amount.3.	Implement policies to ensure consumers are not forced to obtain subpoenas to access basic transaction details.4.	Issue a public acknowledgment or apology for falsely accusing customers.",1
I would rate them a negative number if…,"I would rate them a negative number if possible. They do nothing as a company to help protect people from fraudsters and scammers. Their “special investigative team” is nothing more than a canned response about how there is nothing they can do. For this very reason I will never, ever use this unscrupulous company again. Absolutely disgusting company.",1
Good for long term stays,Sin comentario,4
Airbnb no protect guest – £800 lost,"I’m extremely disappointed with Airbnb’s handling of my case.On April 9, 2025, I stayed in an apartment in Glasgow booked through Airbnb (Reservation code: HMQJPTR4WM). That same day, I realised I had left a bag with valuable personal belongings (worth approx. £800) in the apartment. I immediately contacted the host via Airbnb messages.The host acknowledged having the bag, even sent a photo of it, and promised to mail it back to me. Since I was no longer in Glasgow, we agreed he would send it via post.Over the next two weeks, he repeatedly told me he would send it ""soon"" — and then suddenly stopped replying altogether. The item was never returned.I reported the case to Airbnb, who escalated it to their insurance partner Crawford TPA. But in the end, nothing was done, and Airbnb took no responsibility, claiming it was “out of their hands.”The host still rents the same flat on Airbnb, despite this unacceptable behavior.Email from Crawford: case #25875038This was a serious failure in guest protection. I lost £800 and got silence from both Airbnb and their insurer. I can’t trust Airbnb anymore — not with my belongings, not with their “host standards,” and certainly not with guest support.",1
Terrible experience from the company…,Terrible experience from the company customer support. They are scammer and must be investigated,1
Disgusting behavior from one of your…,"Disgusting behavior from one of your hosts, on reading her reviews, this is not the first time. What’s worse AirBnB are enabling this extortion by supporting the host. I advice not to use Air BnN at all costs. Taking money out of user’s accounts for false damage claims is utterly unacceptable.",1
⚠️ Stay Away from Anna’s Property,"⚠️ Stay Away from Anna’s Property – 2527 Jane Street, Pittsburgh, PAI stayed at 2527 Jane Street, Pittsburgh, hosted by Anna, and it was one of the most disgusting and stressful experiences I’ve ever had.As a professional bodybuilder in town for a competition, I spent most of my time resting, cooking, and preparing meals. That’s when I saw it: mice running in broad daylight inside the house, darting from the piano area toward the heating system and into the kitchen. It was so unsettling I had to keep the lights on during the day just to get through the prep. Stress like that before stepping on stage can ruin performance — and it nearly did.If the rodents weren’t enough, the cookware was filthy, burned, and unusable. I had to go out of my way to buy my own pots and pans because hers were simply too nasty to cook with. For a property that charges full price, this is unacceptable.When I raised these issues privately, hoping to resolve it quietly, Anna didn’t apologize or offer to make things right. Instead, she became hostile, made false accusations, and refused to take responsibility.I’ve been using short-term rentals for nearly a decade without a single issue, and this was the first time I experienced something this bad. The house is unsanitary, and the host is unprofessional and defensive.Bottom line: Avoid Anna and avoid 2527 Jane Street, Pittsburgh at all costs. You do not want to deal with the stress, the rodents, or a host who refuses to take accountability.",1
Airbnb forces us to sleep on the…,"Airbnb forces us to sleep on the street! The host cancelled the booking in the last minutes prior to check-in time, for decent reasons, not his bad. Airbnb cannot offer a decent alternative (the closest one is 6 km far from the initial booking without even one review). They forces us to use the money we paid as credit on airbnb, but there is not even a close option to our initial booking  in any aspect for around the price scale I booked the initial place, and they do not attempt to pay for the only available option which is more expensive then our booking. When I asked them for refunding my money back to my bank account, they asked me to wait for at least 7 days. Yet, I have no other money to book a place via another platform to stay. The only thing they can do is telling me about their standard refund processing time, which is very very clever and customer friendly.",1
Complete scam - false advertising,Booked an apartment listed as 2 bed two bathroom that sleeps 5. Selected 1 guest as I wanted the property for myself (loser I know) - only to find out if you didn't book for 5 guests they just gave you a hotel room instead of the apartment. Refused my refund despite requesting it 20 mins after booking. When I complained they refused to answer my questions and closed my complaint,1
$1300 damage fee for dog toys that we found under bed and couch,They allowed a host to charge my family $1300 for damage and dog toys that was already there. We found the toys under a bed and the couch when we were cleaning! We don't even own a dog!!!!,1
As a host,"As a host, i will never list my property with them again, i clearly stated all my facilities incl CCTV in common areas, thabk God i had this installed as the last guest's were the worst breaking dinner sets and glasswear, they then told me that i am ib the wrong. I urge all hosts on Airbnb find another platform as all they care about is their commission.",1
DONT BOOK,DONT BOOK. DONT BOOK. DONT BOOK. AIRBNB LOOKED NOTHING LIKE WHAT WAS ONLINE. IM STILL FIGHTING AFTER 1 MONTH FOR MY MONEY BACK AND THEY TOLD ME I WAS DUE A REFUND. NOW THEY WANT TO CHARGE ME TAX AND SERVICE FEES OF 700 GBP EVEN THOUGH I DIDNT EVEN SPEND A NIGHT HERE DUE TO AN APARTMENT I BOOKED THAT HAD NO MATTRESS ON ARRIVAL. IM PRETTYY FED UP AND WILL BE TAKING THIS UP WITH AIRBNB LEGALLY. EVERYTIME I ASK WHEN I AM RECEIVING MY REFUND THEY SEND ME A GENERIC MESSAGE. NO REFUND FOR A MONTH. SAME BLOODY GENERIC MESSAGE.,1
The worst customer support,I reserved a trip somehow went on a friend's account we are still on the phone after 3 hours of trying to get this straightened out talking to somebody in another country that you can't understand,1
Airbnb are absolutely useless,"Airbnb are absolutely useless. I would never use it again. Host provided a terrible experience - burst pipe flooded the flat, and then the host asked me for compensation that Airbnb upheld",1
Customer service helped me get partial…,"Customer service helped me get partial refund after an absolute dreadful stay in Kranjska Gora, Slovenia.Years ago I used to have nothing but good experiences at Airbnb stays but lately it has become obvious that there is just zero regulations. Hosts can get away with a lot and it's not ok. Luckily I managed to get back 30% of my money. Honestly I don't think I'd stay at another Airbnb again I think it's just too risky.The place I last stayed at was absolutely disgusting. But the customer service people went above and beyond to help me and I'm actually extremely impressed with them and their efforts. They called me moments after contacting them out of hours and we spoke on the phone. If only the hosts had more regulations!",3
As a host I had the most terrible…,"As a host I had the most terrible experience. I had airbnb cancelling a booking on my behalf and let 5 men stay in my private property without even a valid reservation ! After 4 years of hosting with 5 star reviews, I left the platform forever. They take enormous commissions and deliver only problems",1
False accusations and removal of review,"I left an honest, balanced review of a property. Afterwards, the host contacted me multiple times, including on WhatsApp using my private number, pressuring me to change it to 5 stars. I said no, but the pressure continued.When I reported this harassment with screenshots, Airbnb shockingly deleted my review and accused me of “pressure or coercion” instead of holding the host accountable. Guests deserve to know this happened.",1
Airbnb has been a saver for me multiple…,Airbnb has been a saver for me multiple times. The app itself works great every time and is convenient. I would suggest adding a place where people could report an issue or check when their room is available without reaching out to owners,4
I wouldn't give it one star.,I wouldn't give it one star.I had a traumatic experience.Air b and b can't really help you when your life is in danger.There are terrible people out there and this company allows them into your life,1
I rented an Airbnb property that was…,"I rented an Airbnb property that was infested with ants and completely unlivable. I contacted Airbnb immediately, but they offered almost no support. I was forced to rebook at a hotel at my own expense. Out of $1,400, I was only refunded $200 because the host had a ‘strict no refund’ policy — even though the listing was falsely advertised and uninhabitable. Airbnb sided with the host instead of the guest, which was shocking. Be aware that Airbnb does not stand behind their customers when something goes wrong.”",1
They ignored the racism I faced,"I believe I suffered racial discrimination and some customer service lady on Airbnb wrote to me that they had looked into it internally and found there was no racism.What happened is that I was directed in Buenos Aires by the porter of the building I was supposed to stay in TO THE SERVICE ELEVATOR! And I am a black man. That took me to the correct floor and flat but wrong door and then my host claimed he fell asleep and wouldn’t open the door. I stayed for 4 hours talking to Airbnb call centre staff before I was finally transferred to a supervisor. When I finally left at 6am the same porter saw me and didn’t say a thing.This has NEVER happened with ANY of the other guests, none of whom are black.Airbnb have a non-discrimination policy but what use is it if there is no transparency in sharing the investigation and its findings and communicating them.They told me the host violated Airbnb guidelines by not communicating with me properly but chose to totally ignore the fact that the porter sent me to the SERVICE ELEVATOR at 2:30 AM!Black people staying in a flat in Palermo with a host, you have been warned!",1
We will never again rent with Airbnb,"We will never again rent with Airbnb.  We arrived at a property that was in terrible repair and dirty, nothing like the listing described.  I provided time stamped photos of the dirty bathroom, fridge filled with the leftovers from past renters, dirty and ripped outdoor furniture, etc.  We left the property and, after filing a complaint and talking to an offshore “customer service” person were offed a $22 refund for a $2000 booking.",1
What a scam for hosts and guests,What a scam for hosts and guests.  Hosts aren’t supported.  Guests are being scammed.  The customer service is a joke and an exercise in futility.  There are so many stellar short-term rental owners/host that are fleeing to set up direct booking sites.   Guests should follow them.  BEWARE!  It’s a cesspool!,1
After $50k Spent With Airbnb We Are Done Foreveroyal Airbnb customers…,"We have been loyal Airbnb customers spending close to $50,000 on stays the past couple years. one of our most recent experience in wilmington, nc was horrendous and showed us just how little Airbnb stands behind its guests.When we first got into the house we immediately contacted Airbnb about the problems. That did nothing. We were left with no real support and stuck staying in a property that was disgusting and completely misrepresented compared to the listing.There was service work being done inside the house without us being notified. I woke up with bed bug bites on my arm. There were stains all over the carpet. The kitchen was stocked with only three forks for the entire house. I could go on and on, but the point is this was not remotely what we paid for.Afterwards we left an honest review so other travelers could be warned. Somehow the host was able to have our review removed. So much for Airbnb’s promise of transparency and a trustworthy review system.The message is clear, as long as the host keeps generating revenue Airbnb does not care about the guest experience. Guests who tell the truth are silenced while the hosts continue operating without accountability.After years of loyalty and tens of thousands spent we are done. We will take our business and our money to companies that actually protect their customers.",1
5 stars,"Used Airbnb a few times, always had good experiences.",5
Turn a disaster into a crisis.8.5 hours…,"Turn a disaster into a crisis.8.5 hours of no food, no going out, no sleep and no peace that’s what our first day in Spain was like waiting on Airbnb to refund us due to accommodation not being as described..we are elderly, we are tired and we are hungry ..my husband has health needs..young people telling us over and over they understand but demonstrating no understanding at all. This could well be our last holiday with them as all confidence gone. We are crying we are so desperate.",1
