Título,Comentario,Puntaje,processed_text,lemmatized_text,topic
Still no refund,"Still no refund, due to personal harassment from an Airbnb host.",1,"['still', 'refund', 'due', 'personal', 'harassment', 'airbnb', 'host']","['Still', 'no', 'refund', ',', 'due', 'to', 'personal', 'harassment', 'from', 'an', 'Airbnb', 'host', '.']",other
The worst booking platform ever…,The worst booking platform ever existed. THEY DO NOT HAVE REAL SUPPORT.,1,"['worst', 'booking', 'platform', 'ever', 'existed', 'real', 'support']","['The', 'worst', 'booking', 'platform', 'ever', 'existed', '.', 'THEY', 'DO', 'NOT', 'HAVE', 'REAL', 'SUPPORT', '.']",negative
@airbnbhelp,"Missing payoutsHello fellow Airbnb hosts,I’m reaching out to the community because I’ve been struggling with an ongoing issue that I suspect many of you may have experienced as well. Despite multiple stays being completed, I still haven’t received several payouts that are over a month overdue.Here’s what’s happened so far:I’ve contacted Airbnb Support multiple times, but the responses have been generic, with no real resolution.I’ve confirmed that my payout method (bank/PayPal) is correct and functioning—no issues on my end.After researching online, I’ve seen numerous reports from other hosts who’ve faced similar delays, with some waiting up to 6 months (!) for their funds.Questions for the Community:Is anyone else currently experiencing delayed payouts? If so, how long have you been waiting?Has anyone found a way to escalate this successfully? Did calling support, filing a complaint, or reaching out on social media help?Are there any Airbnb reps in this group who can assist? This seems like a widespread issue that needs urgent attention.I’m deeply concerned because, like many of you, I rely on these payouts to cover expenses. Airbnb’s lack of transparency and resolution is unacceptable.If you’ve been through this before and have advice, please share your experience below. The more we raise awareness, the more pressure Airbnb will face to fix this.Thank you in advance for your help—let’s support each other in getting this resolved!#MissingPayouts #AirbnbHostProblems #PaymentDelays",1,"['missing', 'payoutshello', 'fellow', 'airbnb', 'hostsi', 'reaching', 'community', 'struggling', 'ongoing', 'issue', 'suspect', 'many', 'may', 'experienced', 'well', 'despite', 'multiple', 'stay', 'completed', 'still', 'received', 'several', 'payouts', 'month', 'overduehere', 'happened', 'fari', 'contacted', 'airbnb', 'support', 'multiple', 'time', 'response', 'generic', 'real', 'resolutioni', 'confirmed', 'payout', 'method', 'bankpaypal', 'correct', 'functioningno', 'issue', 'endafter', 'researching', 'online', 'seen', 'numerous', 'report', 'host', 'faced', 'similar', 'delay', 'waiting', 'month', 'fundsquestions', 'communityis', 'anyone', 'else', 'currently', 'experiencing', 'delayed', 'payouts', 'long', 'waitinghas', 'anyone', 'found', 'way', 'escalate', 'successfully', 'calling', 'support', 'filing', 'complaint', 'reaching', 'social', 'medium', 'helpare', 'airbnb', 'rep', 'group', 'assist', 'seems', 'like', 'widespread', 'issue', 'need', 'urgent', 'attentioni', 'deeply', 'concerned', 'like', 'many', 'rely', 'payouts', 'cover', 'expense', 'airbnbs', 'lack', 'transparency', 'resolution', 'unacceptableif', 'advice', 'please', 'share', 'experience', 'raise', 'awareness', 'pressure', 'airbnb', 'face', 'fix', 'thisthank', 'advance', 'helplet', 'u', 'support', 'getting', 'resolvedmissingpayouts', 'airbnbhostproblems', 'paymentdelays']","['Missing', 'payoutsHello', 'fellow', 'Airbnb', 'host', ',', 'I', '’', 'm', 'reaching', 'out', 'to', 'the', 'community', 'because', 'I', '’', 've', 'been', 'struggling', 'with', 'an', 'ongoing', 'issue', 'that', 'I', 'suspect', 'many', 'of', 'you', 'may', 'have', 'experienced', 'a', 'well', '.', 'Despite', 'multiple', 'stay', 'being', 'completed', ',', 'I', 'still', 'haven', '’', 't', 'received', 'several', 'payouts', 'that', 'are', 'over', 'a', 'month', 'overdue.Here', '’', 's', 'what', '’', 's', 'happened', 'so', 'far', ':', 'I', '’', 've', 'contacted', 'Airbnb', 'Support', 'multiple', 'time', ',', 'but', 'the', 'response', 'have', 'been', 'generic', ',', 'with', 'no', 'real', 'resolution.I', '’', 've', 'confirmed', 'that', 'my', 'payout', 'method', '(', 'bank/PayPal', ')', 'is', 'correct', 'and', 'functioning—no', 'issue', 'on', 'my', 'end.After', 'researching', 'online', ',', 'I', '’', 've', 'seen', 'numerous', 'report', 'from', 'other', 'host', 'who', '’', 've', 'faced', 'similar', 'delay', ',', 'with', 'some', 'waiting', 'up', 'to', '6', 'month', '(', '!', ')', 'for', 'their', 'funds.Questions', 'for', 'the', 'Community', ':', 'Is', 'anyone', 'else', 'currently', 'experiencing', 'delayed', 'payouts', '?', 'If', 'so', ',', 'how', 'long', 'have', 'you', 'been', 'waiting', '?', 'Has', 'anyone', 'found', 'a', 'way', 'to', 'escalate', 'this', 'successfully', '?', 'Did', 'calling', 'support', ',', 'filing', 'a', 'complaint', ',', 'or', 'reaching', 'out', 'on', 'social', 'medium', 'help', '?', 'Are', 'there', 'any', 'Airbnb', 'rep', 'in', 'this', 'group', 'who', 'can', 'assist', '?', 'This', 'seems', 'like', 'a', 'widespread', 'issue', 'that', 'need', 'urgent', 'attention.I', '’', 'm', 'deeply', 'concerned', 'because', ',', 'like', 'many', 'of', 'you', ',', 'I', 'rely', 'on', 'these', 'payouts', 'to', 'cover', 'expense', '.', 'Airbnb', '’', 's', 'lack', 'of', 'transparency', 'and', 'resolution', 'is', 'unacceptable.If', 'you', '’', 've', 'been', 'through', 'this', 'before', 'and', 'have', 'advice', ',', 'please', 'share', 'your', 'experience', 'below', '.', 'The', 'more', 'we', 'raise', 'awareness', ',', 'the', 'more', 'pressure', 'Airbnb', 'will', 'face', 'to', 'fix', 'this.Thank', 'you', 'in', 'advance', 'for', 'your', 'help—let', '’', 's', 'support', 'each', 'other', 'in', 'getting', 'this', 'resolved', '!', '#', 'MissingPayouts', '#', 'AirbnbHostProblems', '#', 'PaymentDelays']",service
Scam,Worst company ever been using them for over year straight  one off there managers charged me 265.08 for no reason they give me a refund supposed be in there now but they never refunded my bank I paid with but choose to pay a bank I used when I 1st book my apartment then they when I call to explain what they done they told me I’ve got wait 10-15days for to give them a call back when the refund would off bounce with in 24/48hrs off them sending payment biggest con artist going,1,"['worst', 'company', 'ever', 'using', 'year', 'straight', 'one', 'manager', 'charged', 'reason', 'give', 'refund', 'supposed', 'never', 'refunded', 'bank', 'paid', 'choose', 'pay', 'bank', 'used', 'st', 'book', 'apartment', 'call', 'explain', 'done', 'told', 'got', 'wait', 'day', 'give', 'call', 'back', 'refund', 'would', 'bounce', 'hr', 'sending', 'payment', 'biggest', 'con', 'artist', 'going']","['Worst', 'company', 'ever', 'been', 'using', 'them', 'for', 'over', 'year', 'straight', 'one', 'off', 'there', 'manager', 'charged', 'me', '265.08', 'for', 'no', 'reason', 'they', 'give', 'me', 'a', 'refund', 'supposed', 'be', 'in', 'there', 'now', 'but', 'they', 'never', 'refunded', 'my', 'bank', 'I', 'paid', 'with', 'but', 'choose', 'to', 'pay', 'a', 'bank', 'I', 'used', 'when', 'I', '1st', 'book', 'my', 'apartment', 'then', 'they', 'when', 'I', 'call', 'to', 'explain', 'what', 'they', 'done', 'they', 'told', 'me', 'I', '’', 've', 'got', 'wait', '10-15days', 'for', 'to', 'give', 'them', 'a', 'call', 'back', 'when', 'the', 'refund', 'would', 'off', 'bounce', 'with', 'in', '24/48hrs', 'off', 'them', 'sending', 'payment', 'biggest', 'con', 'artist', 'going']",other
Terrible payment policies,It is basically impossible to make a payment without having some third party log into your financial accounts and review them. This is an atrocious violation of trust. I will be using other platforms.,2,"['basically', 'impossible', 'make', 'payment', 'without', 'third', 'party', 'log', 'financial', 'account', 'review', 'atrocious', 'violation', 'trust', 'using', 'platform']","['It', 'is', 'basically', 'impossible', 'to', 'make', 'a', 'payment', 'without', 'having', 'some', 'third', 'party', 'log', 'into', 'your', 'financial', 'account', 'and', 'review', 'them', '.', 'This', 'is', 'an', 'atrocious', 'violation', 'of', 'trust', '.', 'I', 'will', 'be', 'using', 'other', 'platform', '.']",other
I stayed at an Airbnb in Nice,"I stayed at an Airbnb in Nice, France, and was forced to leave early due to a cockroach infestation in the unit. I only stayed 3 out of the 7 nights I paid for. The issue was reported immediately, and I provided photo documentation. The hosts sent a technician but did not resolve the problem—and ultimately ignored all my messages after I left. I received no refund, no compensation, and no accountability. Airbnb offered me only a small monetary amount as a token of goodwill.I wrote a factual and respectful review, but Airbnb removed it, citing a “coercion” policy. Why? Because I had asked the host one last time to issue a refund before I posted it—something Airbnb’s own guidelines say guests should try to do. I did everything right, and still ended up silenced.Airbnb’s support of hosts who ignore safety issues while punishing guests for speaking up is incredibly disappointing. I’m now filing a chargeback and escalating through consumer protection.",1,"['stayed', 'airbnb', 'nice', 'france', 'forced', 'leave', 'early', 'due', 'cockroach', 'infestation', 'unit', 'stayed', 'night', 'paid', 'issue', 'reported', 'immediately', 'provided', 'photo', 'documentation', 'host', 'sent', 'technician', 'resolve', 'problemand', 'ultimately', 'ignored', 'message', 'left', 'received', 'refund', 'compensation', 'accountability', 'airbnb', 'offered', 'small', 'monetary', 'amount', 'token', 'goodwilli', 'wrote', 'factual', 'respectful', 'review', 'airbnb', 'removed', 'citing', 'coercion', 'policy', 'asked', 'host', 'one', 'last', 'time', 'issue', 'refund', 'posted', 'itsomething', 'airbnbs', 'guideline', 'say', 'guest', 'try', 'everything', 'right', 'still', 'ended', 'silencedairbnbs', 'support', 'host', 'ignore', 'safety', 'issue', 'punishing', 'guest', 'speaking', 'incredibly', 'disappointing', 'filing', 'chargeback', 'escalating', 'consumer', 'protection']","['I', 'stayed', 'at', 'an', 'Airbnb', 'in', 'Nice', ',', 'France', ',', 'and', 'wa', 'forced', 'to', 'leave', 'early', 'due', 'to', 'a', 'cockroach', 'infestation', 'in', 'the', 'unit', '.', 'I', 'only', 'stayed', '3', 'out', 'of', 'the', '7', 'night', 'I', 'paid', 'for', '.', 'The', 'issue', 'wa', 'reported', 'immediately', ',', 'and', 'I', 'provided', 'photo', 'documentation', '.', 'The', 'host', 'sent', 'a', 'technician', 'but', 'did', 'not', 'resolve', 'the', 'problem—and', 'ultimately', 'ignored', 'all', 'my', 'message', 'after', 'I', 'left', '.', 'I', 'received', 'no', 'refund', ',', 'no', 'compensation', ',', 'and', 'no', 'accountability', '.', 'Airbnb', 'offered', 'me', 'only', 'a', 'small', 'monetary', 'amount', 'a', 'a', 'token', 'of', 'goodwill.I', 'wrote', 'a', 'factual', 'and', 'respectful', 'review', ',', 'but', 'Airbnb', 'removed', 'it', ',', 'citing', 'a', '“', 'coercion', '”', 'policy', '.', 'Why', '?', 'Because', 'I', 'had', 'asked', 'the', 'host', 'one', 'last', 'time', 'to', 'issue', 'a', 'refund', 'before', 'I', 'posted', 'it—something', 'Airbnb', '’', 's', 'own', 'guideline', 'say', 'guest', 'should', 'try', 'to', 'do', '.', 'I', 'did', 'everything', 'right', ',', 'and', 'still', 'ended', 'up', 'silenced.Airbnb', '’', 's', 'support', 'of', 'host', 'who', 'ignore', 'safety', 'issue', 'while', 'punishing', 'guest', 'for', 'speaking', 'up', 'is', 'incredibly', 'disappointing', '.', 'I', '’', 'm', 'now', 'filing', 'a', 'chargeback', 'and', 'escalating', 'through', 'consumer', 'protection', '.']",service
"Misrepresented Airbnb, Zero Accountability — PayPal No Help Either","I never leave bad reviews, but I need to warn others about my experience with both Airbnb and PayPal.I booked a $4,200 Airbnb for a group of 8, traveling from across the U.S. and Ireland to bury my mom, dad, and sister. This was a painful, emotional trip, and I proactively reached out to the host before booking to ensure the home was appropriate.What we arrived to was shocking:•	Used band-aids and pimple patches in bedrooms and stuck to walls•	Food under the couch, leading to an ant infestation•	A sandy, moldy, dirty, and unprepared property•	A non-functioning refrigerator•	Broken furniture, torn table coverings, and missing beach amenities that were promised•	The house wasn’t even ready until nearly 7 PM on check-in dayWe immediately contacted Airbnb. I spent over a week, three live calls, and more than 25 messages trying to resolve this. Airbnb admitted they could not override the host’s decision and offered no refund beyond the cleaning fee — even though their own Guest Refund Policy clearly covers misrepresentation and unsanitary conditions.So I turned to PayPal, thinking their Buyer Protection would help. Despite submitting extensive documentation and photos, they denied the claim, saying the “item was materially similar to the listing.” How is a filthy, unsafe, pest-ridden home with a broken fridge similar to the polished listing photos?We couldn’t “just leave” — we were on a small island, with no alternatives, trying to mourn our family members. We made every good-faith effort to resolve this privately. Neither company upheld their own standards or protections.If you’re thinking Airbnb or PayPal will protect you when things go wrong — think again. We were left with the emotional and financial fallout, while both companies passed the buck.Do better.",1,"['never', 'leave', 'bad', 'review', 'need', 'warn', 'others', 'experience', 'airbnb', 'paypali', 'booked', 'airbnb', 'group', 'traveling', 'across', 'yous', 'ireland', 'bury', 'mom', 'dad', 'sister', 'painful', 'emotional', 'trip', 'proactively', 'reached', 'host', 'booking', 'ensure', 'home', 'appropriatewhat', 'arrived', 'shocking', 'used', 'bandaids', 'pimple', 'patch', 'bedroom', 'stuck', 'wall', 'food', 'couch', 'leading', 'ant', 'infestation', 'sandy', 'moldy', 'dirty', 'unprepared', 'property', 'nonfunctioning', 'refrigerator', 'broken', 'furniture', 'torn', 'table', 'covering', 'missing', 'beach', 'amenity', 'promised', 'house', 'even', 'ready', 'nearly', 'pm', 'checkin', 'daywe', 'immediately', 'contacted', 'airbnb', 'spent', 'week', 'three', 'live', 'call', 'message', 'trying', 'resolve', 'airbnb', 'admitted', 'could', 'override', 'host', 'decision', 'offered', 'refund', 'beyond', 'cleaning', 'fee', 'even', 'though', 'guest', 'refund', 'policy', 'clearly', 'cover', 'misrepresentation', 'unsanitary', 'conditionsso', 'turned', 'paypal', 'thinking', 'buyer', 'protection', 'would', 'help', 'despite', 'submitting', 'extensive', 'documentation', 'photo', 'denied', 'claim', 'saying', 'item', 'materially', 'similar', 'listing', 'filthy', 'unsafe', 'pestridden', 'home', 'broken', 'fridge', 'similar', 'polished', 'listing', 'photoswe', 'could', 'leave', 'small', 'island', 'alternative', 'trying', 'mourn', 'family', 'member', 'made', 'every', 'goodfaith', 'effort', 'resolve', 'privately', 'neither', 'company', 'upheld', 'standard', 'protectionsif', 'thinking', 'airbnb', 'paypal', 'protect', 'thing', 'go', 'wrong', 'think', 'left', 'emotional', 'financial', 'fallout', 'company', 'passed', 'buckdo', 'better']","['I', 'never', 'leave', 'bad', 'review', ',', 'but', 'I', 'need', 'to', 'warn', 'others', 'about', 'my', 'experience', 'with', 'both', 'Airbnb', 'and', 'PayPal.I', 'booked', 'a', '$', '4,200', 'Airbnb', 'for', 'a', 'group', 'of', '8', ',', 'traveling', 'from', 'across', 'the', 'U.S.', 'and', 'Ireland', 'to', 'bury', 'my', 'mom', ',', 'dad', ',', 'and', 'sister', '.', 'This', 'wa', 'a', 'painful', ',', 'emotional', 'trip', ',', 'and', 'I', 'proactively', 'reached', 'out', 'to', 'the', 'host', 'before', 'booking', 'to', 'ensure', 'the', 'home', 'wa', 'appropriate.What', 'we', 'arrived', 'to', 'wa', 'shocking', ':', '•', 'Used', 'band-aids', 'and', 'pimple', 'patch', 'in', 'bedroom', 'and', 'stuck', 'to', 'walls•', 'Food', 'under', 'the', 'couch', ',', 'leading', 'to', 'an', 'ant', 'infestation•', 'A', 'sandy', ',', 'moldy', ',', 'dirty', ',', 'and', 'unprepared', 'property•', 'A', 'non-functioning', 'refrigerator•', 'Broken', 'furniture', ',', 'torn', 'table', 'covering', ',', 'and', 'missing', 'beach', 'amenity', 'that', 'were', 'promised•', 'The', 'house', 'wasn', '’', 't', 'even', 'ready', 'until', 'nearly', '7', 'PM', 'on', 'check-in', 'dayWe', 'immediately', 'contacted', 'Airbnb', '.', 'I', 'spent', 'over', 'a', 'week', ',', 'three', 'live', 'call', ',', 'and', 'more', 'than', '25', 'message', 'trying', 'to', 'resolve', 'this', '.', 'Airbnb', 'admitted', 'they', 'could', 'not', 'override', 'the', 'host', '’', 's', 'decision', 'and', 'offered', 'no', 'refund', 'beyond', 'the', 'cleaning', 'fee', '—', 'even', 'though', 'their', 'own', 'Guest', 'Refund', 'Policy', 'clearly', 'cover', 'misrepresentation', 'and', 'unsanitary', 'conditions.So', 'I', 'turned', 'to', 'PayPal', ',', 'thinking', 'their', 'Buyer', 'Protection', 'would', 'help', '.', 'Despite', 'submitting', 'extensive', 'documentation', 'and', 'photo', ',', 'they', 'denied', 'the', 'claim', ',', 'saying', 'the', '“', 'item', 'wa', 'materially', 'similar', 'to', 'the', 'listing.', '”', 'How', 'is', 'a', 'filthy', ',', 'unsafe', ',', 'pest-ridden', 'home', 'with', 'a', 'broken', 'fridge', 'similar', 'to', 'the', 'polished', 'listing', 'photo', '?', 'We', 'couldn', '’', 't', '“', 'just', 'leave', '”', '—', 'we', 'were', 'on', 'a', 'small', 'island', ',', 'with', 'no', 'alternative', ',', 'trying', 'to', 'mourn', 'our', 'family', 'member', '.', 'We', 'made', 'every', 'good-faith', 'effort', 'to', 'resolve', 'this', 'privately', '.', 'Neither', 'company', 'upheld', 'their', 'own', 'standard', 'or', 'protections.If', 'you', '’', 're', 'thinking', 'Airbnb', 'or', 'PayPal', 'will', 'protect', 'you', 'when', 'thing', 'go', 'wrong', '—', 'think', 'again', '.', 'We', 'were', 'left', 'with', 'the', 'emotional', 'and', 'financial', 'fallout', ',', 'while', 'both', 'company', 'passed', 'the', 'buck.Do', 'better', '.']",negative
I wish I could give this review zero…,"I wish I could give this review zero stars, because that's all AirBnB is worth. Recently I used AirBnB for a stay while I finished the purchase of my own place. Unfortunately I am disabled and once my host and roommates learned of my disability, I suddenly became a target and a scapegoat for all the problems the AirBnB was having. None of which there was any proof, but the stereotypical accusation became, ""He is disabled, so obviously he did it"". As a result, this host began wrongly demanding money from me. So, not wanting to be part of such a harsh, discriminate, toxic environment, I ended my stay at this AirBnB a week early. While living at a hotel, these past few weeks, has been a bit more expensive, I at least am living under a more friendly, accepting roof. Also, this host and AirBnB have refused to refund me the money for the unused seven nights of my last AirBnB stay. This host is also the third AirBnB host who has treated me like absolute garbage, has permitted or participated in discriminatory behaviors connected to my disability and has tried to scam money from me, with this last host being the worst of all. I will never use AirBnB again.",1,"['wish', 'could', 'give', 'review', 'zero', 'star', 'airbnb', 'worth', 'recently', 'used', 'airbnb', 'stay', 'finished', 'purchase', 'place', 'unfortunately', 'disabled', 'host', 'roommate', 'learned', 'disability', 'suddenly', 'became', 'target', 'scapegoat', 'problem', 'airbnb', 'none', 'proof', 'stereotypical', 'accusation', 'became', 'disabled', 'obviously', 'result', 'host', 'began', 'wrongly', 'demanding', 'money', 'wanting', 'part', 'harsh', 'discriminate', 'toxic', 'environment', 'ended', 'stay', 'airbnb', 'week', 'early', 'living', 'hotel', 'past', 'week', 'bit', 'expensive', 'least', 'living', 'friendly', 'accepting', 'roof', 'also', 'host', 'airbnb', 'refused', 'refund', 'money', 'unused', 'seven', 'night', 'last', 'airbnb', 'stay', 'host', 'also', 'third', 'airbnb', 'host', 'treated', 'like', 'absolute', 'garbage', 'permitted', 'participated', 'discriminatory', 'behavior', 'connected', 'disability', 'tried', 'scam', 'money', 'last', 'host', 'worst', 'never', 'use', 'airbnb']","['I', 'wish', 'I', 'could', 'give', 'this', 'review', 'zero', 'star', ',', 'because', 'that', ""'s"", 'all', 'AirBnB', 'is', 'worth', '.', 'Recently', 'I', 'used', 'AirBnB', 'for', 'a', 'stay', 'while', 'I', 'finished', 'the', 'purchase', 'of', 'my', 'own', 'place', '.', 'Unfortunately', 'I', 'am', 'disabled', 'and', 'once', 'my', 'host', 'and', 'roommate', 'learned', 'of', 'my', 'disability', ',', 'I', 'suddenly', 'became', 'a', 'target', 'and', 'a', 'scapegoat', 'for', 'all', 'the', 'problem', 'the', 'AirBnB', 'wa', 'having', '.', 'None', 'of', 'which', 'there', 'wa', 'any', 'proof', ',', 'but', 'the', 'stereotypical', 'accusation', 'became', ',', '``', 'He', 'is', 'disabled', ',', 'so', 'obviously', 'he', 'did', 'it', ""''"", '.', 'As', 'a', 'result', ',', 'this', 'host', 'began', 'wrongly', 'demanding', 'money', 'from', 'me', '.', 'So', ',', 'not', 'wanting', 'to', 'be', 'part', 'of', 'such', 'a', 'harsh', ',', 'discriminate', ',', 'toxic', 'environment', ',', 'I', 'ended', 'my', 'stay', 'at', 'this', 'AirBnB', 'a', 'week', 'early', '.', 'While', 'living', 'at', 'a', 'hotel', ',', 'these', 'past', 'few', 'week', ',', 'ha', 'been', 'a', 'bit', 'more', 'expensive', ',', 'I', 'at', 'least', 'am', 'living', 'under', 'a', 'more', 'friendly', ',', 'accepting', 'roof', '.', 'Also', ',', 'this', 'host', 'and', 'AirBnB', 'have', 'refused', 'to', 'refund', 'me', 'the', 'money', 'for', 'the', 'unused', 'seven', 'night', 'of', 'my', 'last', 'AirBnB', 'stay', '.', 'This', 'host', 'is', 'also', 'the', 'third', 'AirBnB', 'host', 'who', 'ha', 'treated', 'me', 'like', 'absolute', 'garbage', ',', 'ha', 'permitted', 'or', 'participated', 'in', 'discriminatory', 'behavior', 'connected', 'to', 'my', 'disability', 'and', 'ha', 'tried', 'to', 'scam', 'money', 'from', 'me', ',', 'with', 'this', 'last', 'host', 'being', 'the', 'worst', 'of', 'all', '.', 'I', 'will', 'never', 'use', 'AirBnB', 'again', '.']",negative
I had a very disappointing experience…,"I had a very disappointing experience with an Airbnb listing hosted by Magda (Loft Berlin Kreuzberg Viktoriapark, 10965)Here are the facts I shared in my honest review, which Airbnb chose to delete without any real explanation:This is not a neutral rental unit – it's clearly a private apartment where the host lives full-time, filled with children’s toys, drawings, personal photos, and clutter, making the stay feel uncomfortable and intrusive.The photos on the listing are misleading. For example, in the center of the living room, there was a disturbing poster of a dissected chicken, while the listing photo showed a neutral image. This misrepresentation felt deliberate.The host controlled key handover rigidly – I wasn’t allowed to pick up the keys at a convenient time. She insisted on meeting me at a fixed hour and greeted me with a list of house rules in a cold, directive manner.I spent time writing a truthful, respectful review to help future guests—but Airbnb removed it, claiming a vague ""policy violation"" and refuses to let me write another. Meanwhile, this host is still active, and the misleading listing remains untouched.This raises a serious question: Is Airbnb prioritizing hosts’ ratings over guests’ rights and safety? I will be filing a formal complaint with consumer protection authorities.",1,"['disappointing', 'experience', 'airbnb', 'listing', 'hosted', 'magda', 'loft', 'berlin', 'kreuzberg', 'viktoriapark', 'fact', 'shared', 'honest', 'review', 'airbnb', 'chose', 'delete', 'without', 'real', 'explanationthis', 'neutral', 'rental', 'unit', 'clearly', 'private', 'apartment', 'host', 'life', 'fulltime', 'filled', 'childrens', 'toy', 'drawing', 'personal', 'photo', 'clutter', 'making', 'stay', 'feel', 'uncomfortable', 'intrusivethe', 'photo', 'listing', 'misleading', 'example', 'center', 'living', 'room', 'disturbing', 'poster', 'dissected', 'chicken', 'listing', 'photo', 'showed', 'neutral', 'image', 'misrepresentation', 'felt', 'deliberatethe', 'host', 'controlled', 'key', 'handover', 'rigidly', 'allowed', 'pick', 'key', 'convenient', 'time', 'insisted', 'meeting', 'fixed', 'hour', 'greeted', 'list', 'house', 'rule', 'cold', 'directive', 'manneri', 'spent', 'time', 'writing', 'truthful', 'respectful', 'review', 'help', 'future', 'guestsbut', 'airbnb', 'removed', 'claiming', 'vague', 'policy', 'violation', 'refuse', 'let', 'write', 'another', 'meanwhile', 'host', 'still', 'active', 'misleading', 'listing', 'remains', 'untouchedthis', 'raise', 'serious', 'question', 'airbnb', 'prioritizing', 'host', 'rating', 'guest', 'right', 'safety', 'filing', 'formal', 'complaint', 'consumer', 'protection', 'authority']","['I', 'had', 'a', 'very', 'disappointing', 'experience', 'with', 'an', 'Airbnb', 'listing', 'hosted', 'by', 'Magda', '(', 'Loft', 'Berlin', 'Kreuzberg', 'Viktoriapark', ',', '10965', ')', 'Here', 'are', 'the', 'fact', 'I', 'shared', 'in', 'my', 'honest', 'review', ',', 'which', 'Airbnb', 'chose', 'to', 'delete', 'without', 'any', 'real', 'explanation', ':', 'This', 'is', 'not', 'a', 'neutral', 'rental', 'unit', '–', 'it', ""'s"", 'clearly', 'a', 'private', 'apartment', 'where', 'the', 'host', 'life', 'full-time', ',', 'filled', 'with', 'child', '’', 's', 'toy', ',', 'drawing', ',', 'personal', 'photo', ',', 'and', 'clutter', ',', 'making', 'the', 'stay', 'feel', 'uncomfortable', 'and', 'intrusive.The', 'photo', 'on', 'the', 'listing', 'are', 'misleading', '.', 'For', 'example', ',', 'in', 'the', 'center', 'of', 'the', 'living', 'room', ',', 'there', 'wa', 'a', 'disturbing', 'poster', 'of', 'a', 'dissected', 'chicken', ',', 'while', 'the', 'listing', 'photo', 'showed', 'a', 'neutral', 'image', '.', 'This', 'misrepresentation', 'felt', 'deliberate.The', 'host', 'controlled', 'key', 'handover', 'rigidly', '–', 'I', 'wasn', '’', 't', 'allowed', 'to', 'pick', 'up', 'the', 'key', 'at', 'a', 'convenient', 'time', '.', 'She', 'insisted', 'on', 'meeting', 'me', 'at', 'a', 'fixed', 'hour', 'and', 'greeted', 'me', 'with', 'a', 'list', 'of', 'house', 'rule', 'in', 'a', 'cold', ',', 'directive', 'manner.I', 'spent', 'time', 'writing', 'a', 'truthful', ',', 'respectful', 'review', 'to', 'help', 'future', 'guests—but', 'Airbnb', 'removed', 'it', ',', 'claiming', 'a', 'vague', '``', 'policy', 'violation', ""''"", 'and', 'refuse', 'to', 'let', 'me', 'write', 'another', '.', 'Meanwhile', ',', 'this', 'host', 'is', 'still', 'active', ',', 'and', 'the', 'misleading', 'listing', 'remains', 'untouched.This', 'raise', 'a', 'serious', 'question', ':', 'Is', 'Airbnb', 'prioritizing', 'host', '’', 'rating', 'over', 'guest', '’', 'right', 'and', 'safety', '?', 'I', 'will', 'be', 'filing', 'a', 'formal', 'complaint', 'with', 'consumer', 'protection', 'authority', '.']",service
I stayed with a host who advertised…,"I stayed with a host who advertised fast internet in their listing. However, upon arrival, there was no internet access, and since we work remotely, this was a major issue.The host informed me that the internet could be down for up to two weeks and suggested I cancel the booking. I requested a refund but received none.When I asked again for the internet to be fixed as soon as possible and for a refund, I was met with an unfair and unfounded negative review from the host.Unfortunately, this experience has made me decide never to use Airbnb again.",1,"['stayed', 'host', 'advertised', 'fast', 'internet', 'listing', 'however', 'upon', 'arrival', 'internet', 'access', 'since', 'work', 'remotely', 'major', 'issuethe', 'host', 'informed', 'internet', 'could', 'two', 'week', 'suggested', 'cancel', 'booking', 'requested', 'refund', 'received', 'nonewhen', 'asked', 'internet', 'fixed', 'soon', 'possible', 'refund', 'met', 'unfair', 'unfounded', 'negative', 'review', 'hostunfortunately', 'experience', 'made', 'decide', 'never', 'use', 'airbnb']","['I', 'stayed', 'with', 'a', 'host', 'who', 'advertised', 'fast', 'internet', 'in', 'their', 'listing', '.', 'However', ',', 'upon', 'arrival', ',', 'there', 'wa', 'no', 'internet', 'access', ',', 'and', 'since', 'we', 'work', 'remotely', ',', 'this', 'wa', 'a', 'major', 'issue.The', 'host', 'informed', 'me', 'that', 'the', 'internet', 'could', 'be', 'down', 'for', 'up', 'to', 'two', 'week', 'and', 'suggested', 'I', 'cancel', 'the', 'booking', '.', 'I', 'requested', 'a', 'refund', 'but', 'received', 'none.When', 'I', 'asked', 'again', 'for', 'the', 'internet', 'to', 'be', 'fixed', 'a', 'soon', 'a', 'possible', 'and', 'for', 'a', 'refund', ',', 'I', 'wa', 'met', 'with', 'an', 'unfair', 'and', 'unfounded', 'negative', 'review', 'from', 'the', 'host.Unfortunately', ',', 'this', 'experience', 'ha', 'made', 'me', 'decide', 'never', 'to', 'use', 'Airbnb', 'again', '.']",other
Desparate spammers,Keep spamming me. No unsubscribe. Keep telling me to log in BUT I do not have an account. AVOID,1,"['keep', 'spamming', 'unsubscribe', 'keep', 'telling', 'log', 'account', 'avoid']","['Keep', 'spamming', 'me', '.', 'No', 'unsubscribe', '.', 'Keep', 'telling', 'me', 'to', 'log', 'in', 'BUT', 'I', 'do', 'not', 'have', 'an', 'account', '.', 'AVOID']",other
